"G0830 Electronics Lab (20)","230"
"G0832 Electronics Lab (20)","231"
"G0834 Computer Lab/PBL (23)","232"
"G0835 Info Technology Computer Lab (20)","233"
"G0837 (81)","234"
"G0841 Wine Geese Training Bar (100)","235"
"G0842 Connemara Upstairs Training Rest (50)","236"
"G0843 Unit 12 (16)","237"
"G0903 (250)","238"
"G0907 Language Lab (20)","239"
"G0910 Language Lab (20)","240"
"G0938 (60)","241"
"G0939 (90)","242"
"G0940 (90)","243"
"G0941 (150)","244"
"G0994 (150)","245"
"G0995 (90)","246"
"G0996 (90)","247"
"G0997 (60)","248"
"G1000 Blue Theatre (288)","249"
"G1031 (34)","250"
"G1032 (34)","251"
"G1033 (34)","252"
"G1034 (34)","253"
"G1035 (34)","254"
"G1036 (30)","255"
"G1039 (60)","256"
"G1041 Video Conference Room (60)","257"
"LETT Computer Lab 1 (50)","258"
"LETT Computer Lab 2 (50)","259"
"LETT Design Studio 1 (50)","260"
"LETT Design Studio 2 (50)","261"
"LETT Design Studio 3 (50)","262"
"LETT Lecture Theatre 1 (50)","263"
"LETT Lecture Theatre 2 (50)","264"
"LETT Lecture Theatre 3 (50)","265"
"LETT Lecture Theatre 4 (50)","266"
"LETT Lecture Theatre 5 (50)","267"
"LETT Machine Hall 1A (50)","268"
"LETT Machine Hall 1B (50)","269"
"LETT Machine Hall 2 (50)","270"
"Letterfrack Bench Room 1 (50)","271"
"Letterfrack Bench Room 2 (50)","272"
"MayoCL-B117-Unix (25)","273"
"MayoCL-B208-cl4 (25)","274"
"MayoCL-Net (28)","275"
"MayoCL-R202-CAD (25)","276"
"MayoCL-Y100-cl6 (25)","277"
"MayoCL-Y103-cl5 (25)","278"
"MayoCL-Y200-cl2 (25)","279"
"MayoCL-Y201-cl1 (25)","280"
"MayoLab-B017-CH (40)","281"
"MayoLab-G102-Digmes (30)","282"
"MayoLab-R200-DO (40)","283"
"MayoLab-Y016-A3 (18)","284"
"MayoLab-Y017-A1 (18)","285"
"MayoLab-Y018-A2 (18)","286"
"MayoMR-P106-Board (30)","287"
